player,pos,age,game_date,league_id,team,game_location,opp,game_result,game_num,week_num,game_day_of_week,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
Jordan Howard,RB,23.325,2018-09-23,NFL,CHI,@,ARI,W 16-14,3,3,Sun,2,2,20,10.00,0,100.0%,10.00
Taylor Gabriel,WR,27.218,2018-09-23,NFL,CHI,@,ARI,W 16-14,3,3,Sun,10,6,34,5.67,0,60.0%,3.40
Benny Cunningham,RB,28.078,2018-09-23,NFL,CHI,@,ARI,W 16-14,3,3,Sun,2,1,9,9.00,0,50.0%,4.50
Tarik Cohen,RB,23.059,2018-09-23,NFL,CHI,@,ARI,W 16-14,3,3,Sun,3,3,15,5.00,0,100.0%,5.00
Trey Burton,TE,26.329,2018-09-23,NFL,CHI,@,ARI,W 16-14,3,3,Sun,5,4,55,13.75,0,80.0%,11.00
Josh Bellamy,WR,29.128,2018-09-23,NFL,CHI,@,ARI,W 16-14,3,3,Sun,1,1,2,2.00,0,100.0%,2.00
C.J. Uzomah,TE,25.252,2018-09-23,NFL,CIN,@,CAR,L 21-31,3,3,Sun,2,2,19,9.50,1,100.0%,9.50
John Ross,WR,23.300,2018-09-23,NFL,CIN,@,CAR,L 21-31,3,3,Sun,7,3,16,5.33,0,42.9%,2.29
Josh Malone,WR,22.186,2018-09-23,NFL,CIN,@,CAR,L 21-31,3,3,Sun,3,1,12,12.00,0,33.3%,4.00
Tyler Kroft,TE,25.343,2018-09-23,NFL,CIN,@,CAR,L 21-31,3,3,Sun,1,1,16,16.00,0,100.0%,16.00
A.J. Green,WR,30.054,2018-09-23,NFL,CIN,@,CAR,L 21-31,3,3,Sun,8,5,58,11.60,0,62.5%,7.25
Tyler Eifert,TE,28.015,2018-09-23,NFL,CIN,@,CAR,L 21-31,3,3,Sun,8,6,74,12.33,0,75.0%,9.25
Tyler Boyd,WR,23.312,2018-09-23,NFL,CIN,@,CAR,L 21-31,3,3,Sun,7,6,132,22.00,1,85.7%,18.86
Giovani Bernard,HB,26.305,2018-09-23,NFL,CIN,@,CAR,L 21-31,3,3,Sun,9,5,25,5.00,0,55.6%,2.78
David Njoku,TE,22.072,2018-09-20,NFL,CLE,,NYJ,W 21-17,3,3,Thu,2,2,36,18.00,0,100.0%,18.00
Jarvis Landry,WR,25.296,2018-09-20,NFL,CLE,,NYJ,W 21-17,3,3,Thu,14,8,103,12.88,0,57.1%,7.36
Duke Johnson,RB,24.362,2018-09-20,NFL,CLE,,NYJ,W 21-17,3,3,Thu,2,2,24,12.00,0,100.0%,12.00
Carlos Hyde,RB,28.000,2018-09-20,NFL,CLE,,NYJ,W 21-17,3,3,Thu,2,2,5,2.50,0,100.0%,2.50
Rashard Higgins,WR,23.348,2018-09-20,NFL,CLE,,NYJ,W 21-17,3,3,Thu,3,3,32,10.67,0,100.0%,10.67
Antonio Callaway,WR,21.254,2018-09-20,NFL,CLE,,NYJ,W 21-17,3,3,Thu,11,4,20,5.00,0,36.4%,1.82
Deonte Thompson,WR,29.221,2018-09-23,NFL,DAL,@,SEA,L 13-24,3,3,Sun,2,2,23,11.50,0,100.0%,11.50
Geoff Swaim,TE,25.007,2018-09-23,NFL,DAL,@,SEA,L 13-24,3,3,Sun,7,5,47,9.40,0,71.4%,6.71
Allen Hurns,WR,26.315,2018-09-23,NFL,DAL,@,SEA,L 13-24,3,3,Sun,4,2,22,11.00,0,50.0%,5.50
Michael Gallup,WR,22.172,2018-09-23,NFL,DAL,@,SEA,L 13-24,3,3,Sun,4,1,17,17.00,0,25.0%,4.25
Ezekiel Elliott,RB,23.063,2018-09-23,NFL,DAL,@,SEA,L 13-24,3,3,Sun,8,3,11,3.67,0,37.5%,1.38
Cole Beasley,WR,29.150,2018-09-23,NFL,DAL,@,SEA,L 13-24,3,3,Sun,5,3,46,15.33,0,60.0%,9.20
Tavon Austin,WR,28.192,2018-09-23,NFL,DAL,@,SEA,L 13-24,3,3,Sun,3,3,2,0.67,1,100.0%,0.67
Demaryius Thomas,WR,30.272,2018-09-23,NFL,DEN,@,BAL,L 14-27,3,3,Sun,5,5,63,12.60,0,100.0%,12.60
Courtland Sutton,WR,22.348,2018-09-23,NFL,DEN,@,BAL,L 14-27,3,3,Sun,3,2,37,18.50,0,66.7%,12.33
Emmanuel Sanders,WR,31.190,2018-09-23,NFL,DEN,@,BAL,L 14-27,3,3,Sun,8,5,38,7.60,0,62.5%,4.75
Jeff Heuerman,TE,25.303,2018-09-23,NFL,DEN,@,BAL,L 14-27,3,3,Sun,4,2,7,3.50,0,50.0%,1.75
